Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2018-01-01,400.01531982421875,405.7093940695705,399.0259980520491,405.7093940695705,9453202
2018-01-02,400.6308288574219,404.3243041665562,398.5422641972923,401.4442763185407,9499419
2018-01-03,402.2357482910156,407.1603723602456,401.4662693595577,406.7206575344839,13507800
2018-01-04,404.6540832519531,405.31364082486886,402.6314713366122,403.7087301164242,9008932
2018-01-05,405.95123291015625,407.55614380891217,404.6321469594076,405.3136888871881,7441284
2018-01-08,408.2815856933594,409.3588444199197,406.0611154213574,407.20432696679904,8827020
2018-01-09,413.73388671875,415.0309883460093,406.2810117415953,408.1057359895011,14294571
2018-01-10,414.3494873046875,416.5699579312646,411.33755337365113,414.63528289881026,11727682
2018-01-11,412.3268127441406,414.48133021513206,411.1176190182887,414.1075682202053,7849171
2018-01-12,417.2734375,418.9443011456159,412.54670084844645,414.63526572971494,15071161
2018-01-15,417.3393859863281,421.4505628794267,415.6025988835957,417.713148018475,11120925
2018-01-16,405.8193054199219,416.701844644829,404.52220381560244,416.701844644829,10825151
2018-01-17,406.5008850097656,408.47952868870186,398.8061530691234,407.1604426865795,13204016
2018-01-18,404.39031982421875,408.74332400675223,402.36770766949553,408.47951268696335,9381821
2018-01-19,409.49078369140625,410.8538380784073,405.4455597284336,405.8412766742237,9973533
2018-01-22,427.1666259765625,428.39777467576323,413.31615174542833,416.83372365050184,45700733
2018-01-23,432.3330993652344,435.7187657999639,428.7056059033461,428.7056059033461,22526810
2018-01-24,424.9021911621094,431.67352374907864,423.27529616245386,431.67352374907864,14289485
2018-01-25,424.704345703125,427.3864859503366,420.4172653298735,425.5837167012259,13669901
2018-01-29,424.0887145996094,429.7168351868709,421.8022915282687,424.83620922537426,9897064
2018-01-30,417.8890075683594,424.6603695937107,417.2734185291451,424.6603695937107,9182956
2018-01-31,422.6817321777344,424.08875512111547,413.997679439338,417.7131392989015,12551686
2018-02-01,415.00897216796875,427.6502820339128,411.82116435876986,423.5391347095605,16524809
2018-02-02,397.64093017578125,415.05297576450937,396.1679543304869,411.11767294971105,28965593
2018-02-05,396.6735534667969,401.2244449119785,387.7257191964092,393.09002877417123,19191099
2018-02-06,392.25457763671875,394.84880987776666,382.9769503653933,385.6151511519759,24062503
2018-02-07,393.2658996582031,398.10258662281103,391.33122487236,396.8494536721968,15532284
2018-02-08,397.72882080078125,400.41099021711074,392.36451131962224,394.8048537279179,13825894
2018-02-09,394.7828674316406,396.6075914707734,389.57241853988273,390.8915336435809,11580639
2018-02-12,402.54351806640625,403.73069816875363,396.62957247633346,397.04730301794615,11877059
2018-02-14,410.5240478515625,414.41538164372116,404.9618505804261,405.8412508666512,22247829
2018-02-15,411.40350341796875,415.8444446410589,408.10574456363065,412.28290382235866,13363743
2018-02-16,405.0938720703125,414.4594386884296,403.68681957130974,413.1403233016763,9628162
2018-02-19,407.60009765625,409.79858394534585,401.6861513406502,404.96189649843313,8941900
2018-02-20,405.005859375,408.72131934944093,403.9945826995693,408.4794923183597,8458450
2018-02-21,408.63336181640625,410.0184004584889,405.4675382405737,408.919157384304,11917390
2018-02-22,406.4349365234375,409.35893351808903,404.5222456565788,405.40164611789936,11196908
2018-02-23,410.78790283203125,412.4367822130504,405.7313726619427,406.89656862590834,10610664
2018-02-26,412.74456787109375,415.4707061515473,411.82119892693214,412.8764735271878,8435611
2018-02-27,417.9330139160156,420.2634059332672,412.5906879569748,412.8764835521179,14021366
2018-02-28,419.7137756347656,420.8350030278222,414.7231983785712,415.9323628729262,56650480
2018-03-01,417.0096740722656,422.0662047892978,415.9324150946048,417.603278932061,8956590
2018-03-05,406.3249206542969,417.77904956283504,405.22567767112326,414.6352105217487,12325694
2018-03-06,400.49896240234375,411.6453128884909,397.9707120301943,408.47948917870684,16019726
2018-03-07,391.2213134765625,399.7954152379052,390.47381880127335,399.7954152379052,15853546
2018-03-08,400.7627868652344,402.1038864106876,392.7822891783494,394.69495055104676,13283967
2018-03-09,401.48828125,404.2364037076672,400.58689661426115,402.27974450961244,10638527
2018-03-12,409.0510559082031,410.28223395917274,403.44491926263026,404.5221780436031,8315150
2018-03-13,409.7325744628906,411.55732781003746,405.1157597644699,409.75455873571167,11148731
2018-03-14,408.5014953613281,409.82058130660283,404.1704754724315,408.3915739785139,14724464
2018-03-15,400.91668701171875,408.6773714867615,400.1252530517518,406.7207121605015,12711836
2018-03-16,395.750244140625,399.99332672388886,389.5944708832624,399.68551751496886,30814962
2018-03-19,393.7496337890625,398.76216623768994,392.21067573086674,396.1679629073655,12630833
2018-03-20,391.2433166503906,397.48702694206247,390.0341521578806,392.7822746237687,15192983
2018-03-21,394.3652038574219,396.7615487619695,392.7823065562773,393.46381914570554,14715126
2018-03-22,399.3117980957031,400.9826617944784,393.85955082567887,393.9694722069794,22129723
2018-03-23,393.04608154296875,395.728221801563,390.93553243556585,391.5950606869405,23469999
2018-03-26,396.2119140625,397.6189370483925,392.43050126406655,393.06807460615215,13227705
2018-03-27,395.6402587890625,400.4549614662703,394.4091101156281,398.8940486887464,15179544
2018-03-28,388.1214599609375,393.90350044850135,386.93427974844013,393.8815161732977,19160609
2018-04-02,392.6283874511719,396.1459891913898,389.7923570037146,392.6503717282606,12494499
2018-04-03,395.53033447265625,396.4756875821662,389.24265615921826,391.7709356595587,13922126
2018-04-04,393.4858093261719,400.91670055066515,392.23267616240173,397.7948451041913,14214534
2018-04-05,399.3337707519531,400.1252340257902,397.2671901406303,397.9707163119858,8527915
2018-04-06,400.56488037109375,403.8626094462106,397.92670885160027,399.245794611347,9664888
2018-04-09,402.763427734375,404.08254304643236,401.2464832824648,401.2464832824648,7813897
2018-04-10,403.2251281738281,406.23706216185764,401.9500107628789,403.8187036497765,8455132
2018-04-11,409.2929382324219,410.12834070009694,402.7853872342242,405.31366696722233,13140816
2018-04-12,408.3475341796875,411.84312159780563,406.3688909312436,408.8531724524126,10822592
2018-04-13,412.810546875,414.0636800388565,408.3476211548157,410.1063926990947,12616816
2018-04-16,412.01904296875,413.3161739112137,408.2596438473364,410.8758313045042,8934275
2018-04-17,415.18487548828125,416.482006458331,411.5573819411922,413.3161827012067,9599816
2018-04-18,412.436767578125,416.92167706918997,411.1396366544429,415.62457549700974,7360987
2018-04-19,414.3274841308594,415.5146643576494,411.11766250647923,412.92043179788385,9802587
2018-04-20,407.99578857421875,414.12957725683026,405.0498370939298,412.43675877211217,7326696
2018-04-23,411.5574035644531,415.22886585586633,408.25967397979014,408.91920228582006,7674482
2018-04-24,426.529052734375,429.0133637586765,411.11763633948044,411.4694140760855,19921115
2018-04-25,426.7269287109375,431.69549191866275,423.67102664564186,428.1119672903521,14079382
2018-04-26,428.8594970703125,434.4216654685655,423.09944084321853,427.82620678159736,34096999
2018-04-27,438.0711669921875,444.53471994533214,433.3224168389882,435.2131231902759,25518647
2018-04-30,423.5611572265625,436.44429527158326,422.1101362973087,431.78351132065546,19406069
2018-05-02,427.6943054199219,430.5523199353733,424.33059386541703,425.1880099606535,13381914
2018-05-03,422.8136901855469,429.9807701422206,421.78039978705254,429.9807701422206,8634812
2018-05-04,419.4499816894531,424.176718485862,417.71316516392886,423.3632709136858,8302649
2018-05-07,426.9468688964844,427.9361907794511,420.50529919371536,421.6045424690666,7683268
2018-05-08,425.2319641113281,431.78348344312815,424.3965323198635,429.8048400138968,10792648
2018-05-09,429.4530944824219,432.79479254745905,423.099462498123,424.7043733772384,9831044
2018-05-10,431.4097595214844,432.92673331523554,428.37584128548633,430.9041211579035,8781584
2018-05-11,434.9713439941406,435.87269936743377,429.914813435214,431.45374220453675,8774740
2018-05-14,433.8060607910156,436.15846621363016,429.45305704028226,436.15846621363016,5642499
2018-05-15,430.4423828125,439.6980266146841,429.43107682589437,432.2451520389496,10501479
2018-05-16,420.417236328125,428.26585675676756,418.7903707423629,428.26585675676756,18840763
2018-05-17,415.6685791015625,422.11014830735087,413.97573108643536,421.82435270920104,10353948
2018-05-18,410.612060546875,419.2521163833555,409.7986129309824,415.77851249713166,11440117
2018-05-21,409.5127868652344,411.425477561161,405.44557843979345,409.248975555866,14491208
2018-05-22,407.4901123046875,410.67791985856985,406.7206334188542,410.30418722760726,11310073
2018-05-23,401.11456298828125,407.1604150015514,399.7514791723163,407.1604150015514,9991028
2018-05-24,402.6974182128906,404.9618571093157,400.1911523055173,401.8839707336553,11632489
2018-05-25,404.87396240234375,406.01717410710506,402.08190064426464,402.76341320101454,17782410
2018-05-28,404.69805908203125,407.60007136297725,403.68675310616374,406.67670248488076,11369679
2018-05-29,403.4009704589844,408.0397699209851,402.05990032352247,405.1817554488862,17878384
2018-05-30,402.807373046875,405.9292282293453,398.6302432865486,402.25776615814925,13105124
2018-05-31,405.11578369140625,405.5334848996768,402.12583435665135,404.96186442106887,37080158
2018-06-01,409.1610412597656,411.44746465964994,403.8406703753189,404.5222122806992,19174278
2018-06-04,413.68994140625,415.07498021475556,409.16106291860933,410.4141960645434,12250151
2018-06-05,416.6798095703125,419.91158572512836,413.75581323457465,414.5472764065599,17436812
2018-06-06,419.6477966308594,420.35129339736164,414.4813454943552,416.3940360312845,9164022
2018-06-07,427.10064697265625,429.1452430384665,419.6697573333403,419.867615787806,14999572
2018-06-08,432.8168029785156,433.7841111323126,422.37394890621266,424.9022287263294,14289325
2018-06-11,432.0693054199219,439.67607040391886,430.4863788391981,434.0259646939955,15018718
2018-06-12,438.4449157714844,439.698048842878,431.0360093705574,432.3990638208888,16285583
2018-06-13,440.79730224609375,442.2922917374588,435.08124365073724,439.6980590796212,12962502
2018-06-14,443.19366455078125,444.88648313201196,434.15786307013644,438.57681989400896,11997529
2018-06-15,445.94171142578125,450.030903689506,439.3682375616216,442.3362025289863,24705890
2018-06-18,446.5353698730469,448.68988763121666,442.77594125853454,443.56740454866923,12363932
2018-06-19,437.9612731933594,446.20561164199324,436.9059692248665,445.8098653159325,13881382
