Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2018-01-01,1069.2733154296875,1089.1584805969912,1064.9890694566027,1084.106350286476,1351760
2018-01-02,1063.453125,1078.9733273932384,1059.0072506491017,1075.0932521263255,1920290
2018-01-03,1066.4642333984375,1078.7308450477476,1063.45318352088,1063.7765395899855,1257120
2018-01-04,1073.9212646484375,1075.9016602407207,1067.009910982533,1071.0516151908002,913082
2018-01-05,1086.89501953125,1091.0579943845476,1071.0515595921656,1071.0515595921656,1153706
2018-01-08,1097.079833984375,1102.1118332099559,1083.9241695253716,1091.2598210750643,1242220
2018-01-09,1094.8974609375,1099.747505061254,1081.7821530210615,1097.322482999377,2149396
2018-01-10,1134.3447265625,1138.1438889949177,1089.097769649606,1095.7059954066838,3365850
2018-01-11,1127.83740234375,1140.5283123216116,1124.4827685829048,1135.718724452943,2520744
2018-01-12,1122.11865234375,1133.6980961015413,1107.6493307049666,1133.6980961015413,3360314
2018-01-15,1109.892578125,1134.9106909959135,1105.4264746523982,1122.4419924031977,1457214
2018-01-16,1152.229248046875,1156.5942095172663,1111.6909363568611,1113.8936453473564,4267752
2018-01-17,1167.627685546875,1182.1980435622365,1156.7959025410692,1159.9686786405534,4280806
2018-01-18,1179.4501953125,1185.431937747235,1159.1810865797397,1170.8818014503036,2209478
2018-01-19,1196.0616455078125,1205.236295088321,1173.569500514536,1184.4417449431617,1820000
2018-01-22,1262.5430908203125,1269.9569661038558,1183.7861080031655,1199.586127925179,4367110
2018-01-23,1256.708740234375,1273.055716505787,1251.8674739277762,1261.9551350839247,3239610
2018-01-24,1286.1214599609375,1320.3345548874413,1248.8698012319169,1251.8475363915331,5621538
2018-01-25,1264.426513671875,1288.227816603917,1248.201095040364,1286.2831797316312,3833844
2018-01-29,1295.9461669921875,1306.540244449719,1264.8119823789218,1268.6201531404743,3141060
2018-01-30,1277.309814453125,1297.95109794647,1273.6028282196646,1288.3090169686188,1574758
2018-01-31,1260.90234375,1276.1553996780403,1255.3318241482307,1270.888726600004,3043214
2018-02-01,1271.536865234375,1292.3604390143955,1251.3614379721637,1265.6219471727184,2400630
2018-02-02,1277.6337890625,1292.3602534575589,1257.2963528179728,1264.0012510305905,2456490
2018-02-05,1257.195556640625,1291.5504954995818,1246.5204730884147,1259.9504520086884,2757742
2018-02-06,1214.27197265625,1246.6417155986096,1209.3091461769643,1219.437363481629,2657306
2018-02-07,1197.1754150390625,1227.9449156613764,1194.096397792107,1226.3244010910546,2180324
2018-02-08,1204.9339599609375,1226.5678954804912,1198.7760224794565,1207.1824444012032,2755004
2018-02-09,1203.9208984375,1212.9552879322298,1173.5159707201833,1195.1296257181289,2102458
2018-02-12,1202.138427734375,1224.8459114616398,1197.3781654442648,1206.5948434953293,1974562
2018-02-14,1179.653564453125,1205.0348335557849,1171.8345621135309,1203.2320309342047,2847532
2018-02-15,1185.345703125,1192.2936199265005,1176.9392836165139,1187.8169285511522,2465236
2018-02-16,1188.2623291015625,1215.2236542429202,1184.190767338454,1184.190767338454,2515756
2018-02-19,1184.434326171875,1196.4666289761462,1172.9286115594798,1193.1040409297118,1568224
